ID,Name,Address,County,Municipality,Latitude,Longitude,Region,Transit Users Only?,Capacity,2020 Average Use,Average % of Use,Daily Parking Fee,Monthly Parking Fee,Special Event Parking Fee,Bus Lines Serving Lot,Rail Lines Serving Lot,Peak Frequency (mins),Ownership,Annual Rent,Monthly Rent per Space,Monthly Rent per Utilized Space,General Ownership,Name2,Landscaping,Trash,Snow Removal,Signage,Asphalt Sealing,Asphalt Repair / Potholes,Pavement Markers / Striping,Lighting
37,Mccandless,9700 McKnight Rd. at Blazier Drive,Allegheny,Mccandless,40.586427,-80.030025,North,Y,350,112,0.32,0,0,0,"O12, 12",None,10,PAAC,24000,11.43,35.85,PAAC,MCCANDLESS (former Rave Cinema),WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
38,Spring Garden,Spring Garden Avenue,Allegheny,Pittsburgh,40.466436,-79.985546,North,Y,14,1,0.071428571,0,0,0,7,None,60,PAAC,,,,PAAC,SPRING GARDEN,WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
39,Tarentum,4th at Ross (under Tarentum Bridge),Allegheny,Tarentum,40.600252,-79.756944,North,Y,29,11,0.379310345,0,0,0,"P10, 1",None,20,PennDOT/Lease,,,,PennDOT,TARENTUM,NA,NA,NA,WAY DEPT,NA,NA,B & E DEPT,NA
40,West General Robinson Garage (Alco Parking),668 West General Robinson Street,Allegheny,Pittsburgh,40.447519,-80.009511,North,N,1321,1321,1,8,140,0,None,Blue & Red,4,Public Pay Lot,,,,Public,WEST GENERAL ROBINSON GARAGE,NA,NA,NA,NA,NA,NA,NA,NA
41,Ambridge,11th St. at Duss,Beaver,Ambridge,40.5925,-80.22799,West,N,160,18,0.1125,0,0,0,14,None,10,PAAC/Lease,,,,PAAC,AMBRIDGE,CONTRACTOR,CONTRACTOR,CONTRACTOR,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
42,Bell Avenue,Bell Avenue at Harrison Street,Allegheny,Carnegie,40.414762,-80.084058,West,Y,34,12,0.352941176,0,0,0,G2,None,8,PAAC,,,,PAAC,BELL AVENUE,WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
43,Carnegie,Main Street at Logan,Allegheny,Carnegie,40.405298,-80.09111,West,Y,199,87,0.43718593,0,0,0,G2,None,8,PAAC,,,,PAAC,CARNEGIE,WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
44,Covenant-Community Presbyterian Church,1630 Greentree Road,Allegheny,Scott,40.401054,-80.065291,West,Y,75,32,0.426666667,0,0,0,38,None,10,Private/Lease,6500,7.22,16.78,Private,COVENANT-COMMUNITY PRESBYTERIAN CHURCH,NA,NA,NA,NA,NA,NA,B & E DEPT,NA
45,Crafton,Station Street off Noble Ave.,Allegheny,Crafton,40.434864,-80.066999,West,Y,106,41,0.386792453,0,0,0,G2,None,8,Private/Lease,,,,Private,CRAFTON,NA,NA,NA,NA,NA,NA,NA,NA
46,Idlewood,Idlewood and Morange Roads,Allegheny,Pittsburgh,40.425453,-80.073001,West,Y,33,13,0.393939394,0,0,0,G2,None,8,PAAC,,,,PAAC,IDLEWOOD,WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
47,Knights Of Columbus,"10 W. Crafton Ave, off of Crennell Ave.",Allegheny,Crafton,40.436481,-80.067814,West,Y,50,20,0.4,0,0,0,G2,None,8,Private/Lease,7000,11.67,28.96,Private,KNIGHTS OF COLUMBUS,NA,NA,CONTRACTOR,WAY DEPT,NA,NA,NA,NA
48,Sheraden,Chartiers Avenue opp Municipal St.,Allegheny,Pittsburgh,40.452062,-80.051625,West,Y,177,60,0.338983051,0,0,0,G2,None,8,PAAC,,,,PAAC,SHERADEN,WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
49,Thorn Run,Rt. 51 at Thorn Run Rd.,Allegheny,Moon,40.522801,-80.176412,West,N,110,20,0.181818182,0,0,0,21,None,20,PENNDOT/Verbal,,,,PennDOT,THORN RUN,NA,CONTRACTOR,CONTRACTOR,NA,NA,NA,NA,NA
50,University Boulevard,University Blvd at Port Authority Dr.,Allegheny,Moon,40.503701,-80.226631,West,Y,600,109,0.181666667,0,0,0,G3,None,20,PAAC,,,,PAAC,UNIVERSITY BOULEVARD,WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
51,Woodville,Route 50 at Thoms Run Road,Allegheny,Collier,40.381384,-80.094164,West,Y,136,47,0.345588235,0,0,0,"G31, 31, 38",None,15,PAAC,,,,PAAC,WOODVILLE,WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
